Event occurred at,Analyst,Quality score (sourcing),Quality score (writing),Action,Request,Request created at,Job,Wait time (min),Waiting for,Analysts available,Analysts occupied,Total jobs available,Review jobs available,Vetting jobs available,Planning jobs available,Editing jobs available,Sourcing jobs available,Writing jobs available
06/22/2017 19:46:56,85c7b78e76b5232cd38014ea4cdc8f56,4.35,4.35,Assigned Job,594c1e983b593b00281250ba,06/22/2017 15:46:32,sourcing,4,"sourcing, writing",2,12,13,5,5,2,0,1,0
06/22/2017 19:44:03,a09c8906073b4c0b75e3100b857b982a,5,5,Accepted Job,594bec5b95e2ce005840c232,06/22/2017 12:12:11,review,1,"review, planning, editing, sourcing, writing",1,10,11,5,5,1,0,0,0
06/22/2017 19:44:01,a09c8906073b4c0b75e3100b857b982a,5,5,Assigned Job,594bec5b95e2ce005840c232,06/22/2017 12:12:11,review,1,"review, planning, editing, sourcing, writing",2,10,12,6,5,1,0,0,0
06/22/2017 19:40:41,0e9802516f8a79dd0d45211dd4ee74af,4.5,4.5,Accepted Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,writing,1,"sourcing, writing",2,9,12,6,5,1,0,0,0
06/22/2017 19:40:37,0e9802516f8a79dd0d45211dd4ee74af,4.5,4.5,Assigned Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,writing,1,"sourcing, writing",3,9,13,6,5,1,0,0,1
06/22/2017 19:35:59,710dbda77cade1eced9c735c08e6e38d,5,5,Accepted Job,594c41ab1e24bf00350a1f11,06/22/2017 18:16:11,vetting,1,vetting,2,11,10,5,4,1,0,0,0
06/22/2017 19:35:56,710dbda77cade1eced9c735c08e6e38d,5,5,Assigned Job,594c41ab1e24bf00350a1f11,06/22/2017 18:16:11,vetting,1,vetting,3,11,11,5,5,1,0,0,0
06/22/2017 19:31:18,c033808b89b50e6f550caf266470f090,4.9,4.9,Accepted Job,594c151273dd9c002873cd98,06/22/2017 15:05:54,sourcing,1,"editing, sourcing, writing",2,10,11,5,5,1,0,0,0
06/22/2017 19:31:15,c033808b89b50e6f550caf266470f090,4.9,4.9,Assigned Job,594c151273dd9c002873cd98,06/22/2017 15:05:54,sourcing,1,"editing, sourcing, writing",2,10,13,5,5,2,0,1,0
06/22/2017 19:25:28,710dbda77cade1eced9c735c08e6e38d,5,5,Accepted Job,594c41ab1e24bf00350a1f11,06/22/2017 18:16:11,vetting,1,"vetting, sourcing",1,12,10,5,4,1,0,0,0
06/22/2017 19:25:25,710dbda77cade1eced9c735c08e6e38d,5,5,Assigned Job,594c41ab1e24bf00350a1f11,06/22/2017 18:16:11,vetting,1,"vetting, sourcing",2,12,11,5,5,1,0,0,0
06/22/2017 19:20:23,d8e25a290ea51352bf9100a99c475f6d,5,5,Accepted Job,594c41482c137900353e0fea,06/22/2017 18:14:32,vetting,1,vetting,1,14,8,3,4,1,0,0,0
06/22/2017 19:20:09,d8e25a290ea51352bf9100a99c475f6d,5,5,Assigned Job,594c41482c137900353e0fea,06/22/2017 18:14:32,vetting,1,vetting,2,14,9,3,5,1,0,0,0
06/22/2017 19:18:59,d8e25a290ea51352bf9100a99c475f6d,5,5,Assigned Job,594c41482c137900353e0fea,06/22/2017 18:14:32,vetting,1,vetting,2,14,9,3,5,1,0,0,0
06/22/2017 19:15:06,8258591d197a3936de0f7ee021ab9e0e,0,0,Accepted Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,1,sourcing,1,15,9,3,5,1,0,0,0
06/22/2017 19:14:59,d8e25a290ea51352bf9100a99c475f6d,5,5,Accepted Job,594c3f0c73dd9c002873ce44,06/22/2017 18:05:00,vetting,1,vetting,2,14,11,3,5,2,0,1,0
06/22/2017 19:14:53,d8e25a290ea51352bf9100a99c475f6d,5,5,Assigned Job,594c3f0c73dd9c002873ce44,06/22/2017 18:05:00,vetting,1,vetting,3,14,12,3,6,2,0,1,0
06/22/2017 19:14:53,8258591d197a3936de0f7ee021ab9e0e,0,0,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,1,sourcing,3,14,12,3,6,2,0,1,0
06/22/2017 19:09:03,00360b3f177375b01b795a4be7b4686c,0,0,Declined Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,107,sourcing,2,14,11,2,6,2,0,1,0
06/22/2017 19:08:28,00360b3f177375b01b795a4be7b4686c,0,0,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,106,sourcing,2,14,11,2,6,2,0,1,0
06/22/2017 19:08:28,00360b3f177375b01b795a4be7b4686c,0,0,Declined Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,106,sourcing,2,14,11,2,6,2,0,1,0
06/22/2017 19:07:55,a09c8906073b4c0b75e3100b857b982a,5,5,Accepted Job,594bcdd780f13f00405cd4f0,06/22/2017 10:01:59,review,1,"review, planning, editing, sourcing, writing",2,13,11,2,6,2,0,1,0
06/22/2017 19:07:53,a09c8906073b4c0b75e3100b857b982a,5,5,Assigned Job,594bcdd780f13f00405cd4f0,06/22/2017 10:01:59,review,1,"review, planning, editing, sourcing, writing",3,13,12,3,6,2,0,1,0
06/22/2017 19:07:53,00360b3f177375b01b795a4be7b4686c,0,0,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,106,sourcing,3,13,12,3,6,2,0,1,0
06/22/2017 19:06:14,6b19235b9269df81b6da879771bf40bc,0,0,Accepted Job,594c151273dd9c002873cd98,06/22/2017 15:05:54,sourcing,6,sourcing,2,13,10,3,6,1,0,0,0
06/22/2017 19:06:08,6b19235b9269df81b6da879771bf40bc,0,0,Assigned Job,594c151273dd9c002873cd98,06/22/2017 15:05:54,sourcing,6,sourcing,3,13,12,3,6,2,0,1,0
06/22/2017 19:00:59,d8e25a290ea51352bf9100a99c475f6d,5,5,Accepted Job,594c2e992c137900353e0faa,06/22/2017 16:54:49,vetting,1,vetting,3,13,9,3,6,0,0,0,0
06/22/2017 19:00:52,d8e25a290ea51352bf9100a99c475f6d,5,5,Assigned Job,594c2e992c137900353e0faa,06/22/2017 16:54:49,vetting,1,vetting,4,13,10,3,7,0,0,0,0
06/22/2017 19:00:19,a09c8906073b4c0b75e3100b857b982a,5,5,Accepted Job,594c0b883b593b002812506e,06/22/2017 14:25:12,planning,1,planning,2,12,10,3,7,0,0,0,0
06/22/2017 19:00:17,a09c8906073b4c0b75e3100b857b982a,5,5,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,planning,1,planning,3,12,12,3,7,1,0,1,0
06/22/2017 18:59:12,6b19235b9269df81b6da879771bf40bc,0,0,Accepted Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,5,sourcing,2,12,10,3,7,0,0,0,0
06/22/2017 18:59:07,6b19235b9269df81b6da879771bf40bc,0,0,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,4,sourcing,4,12,12,3,7,1,0,1,0
06/22/2017 18:59:07,a09c8906073b4c0b75e3100b857b982a,5,5,Declined Job,594c0b883b593b002812506e,06/22/2017 14:25:12,planning,18,"planning, editing, sourcing, writing",4,12,12,3,7,1,0,1,0
06/22/2017 18:58:32,a09c8906073b4c0b75e3100b857b982a,5,5,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,planning,17,"planning, editing, sourcing, writing",4,12,12,3,7,1,0,1,0
06/22/2017 18:58:32,a09c8906073b4c0b75e3100b857b982a,5,5,Declined Job,594c0b883b593b002812506e,06/22/2017 14:25:12,planning,17,"planning, editing, sourcing, writing",4,12,12,3,7,1,0,1,0
06/22/2017 18:57:57,a09c8906073b4c0b75e3100b857b982a,5,5,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,planning,17,"planning, editing, sourcing, writing",5,12,12,3,7,1,0,1,0
06/22/2017 18:57:57,94959cf2d0b592d0fa1e5e9cf760a1c7,5,5,Declined Job,594c0b883b593b002812506e,06/22/2017 14:25:12,planning,7,planning,5,12,12,3,7,1,0,1,0
06/22/2017 18:57:21,94959cf2d0b592d0fa1e5e9cf760a1c7,5,5,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,planning,6,planning,5,12,12,3,7,1,0,1,0
06/22/2017 18:57:21,94959cf2d0b592d0fa1e5e9cf760a1c7,5,5,Declined Job,594c0b883b593b002812506e,06/22/2017 14:25:12,planning,6,planning,5,12,12,3,7,1,0,1,0
06/22/2017 18:56:46,94959cf2d0b592d0fa1e5e9cf760a1c7,5,5,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,planning,5,planning,4,12,12,3,7,1,0,1,0
06/22/2017 18:37:07,a09c8906073b4c0b75e3100b857b982a,5,5,Accepted Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,source review,1,"review, planning, editing, sourcing, writing",2,14,8,1,7,0,0,0,0
06/22/2017 18:36:56,a09c8906073b4c0b75e3100b857b982a,5,5,Assigned Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,source review,1,"review, planning, editing, sourcing, writing",3,14,9,2,7,0,0,0,0
06/22/2017 18:29:23,a09c8906073b4c0b75e3100b857b982a,5,5,Accepted Job,594bec5c95e2ce005840c242,06/22/2017 12:12:12,review,1,"review, planning, editing, sourcing, writing",3,14,9,2,7,0,0,0,0
06/22/2017 18:29:21,a09c8906073b4c0b75e3100b857b982a,5,5,Assigned Job,594bec5c95e2ce005840c242,06/22/2017 12:12:12,review,1,"review, planning, editing, sourcing, writing",4,14,10,3,7,0,0,0,0
06/22/2017 18:26:42,e2333b2dc03032f12c8526e45243f0c1,0,0,Accepted Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,22,sourcing,2,14,9,2,7,0,0,0,0
06/22/2017 18:26:42,e2333b2dc03032f12c8526e45243f0c1,0,0,Accepted Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,22,sourcing,2,14,9,2,7,0,0,0,0
06/22/2017 18:26:26,e2333b2dc03032f12c8526e45243f0c1,0,0,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,21,sourcing,4,14,11,2,7,1,0,1,0
06/22/2017 18:26:26,8258591d197a3936de0f7ee021ab9e0e,0,0,Declined Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,18,sourcing,4,14,11,2,7,1,0,1,0
06/22/2017 18:25:51,8258591d197a3936de0f7ee021ab9e0e,0,0,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,17,sourcing,4,15,11,2,7,1,0,1,0
06/22/2017 18:25:51,8258591d197a3936de0f7ee021ab9e0e,0,0,Declined Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,17,sourcing,4,15,11,2,7,1,0,1,0
06/22/2017 18:25:16,8258591d197a3936de0f7ee021ab9e0e,0,0,Assigned Job,594c0b883b593b002812506e,06/22/2017 14:25:12,sourcing,17,sourcing,4,15,11,2,7,1,0,1,0
06/22/2017 17:47:20,732e4a29b2e318bce3c1e923276ddf51,5,5,Accepted Job,594bde9ffd2cf400280aa920,06/22/2017 11:13:35,review,1,review,6,17,4,1,3,0,0,0,0
06/22/2017 17:47:18,732e4a29b2e318bce3c1e923276ddf51,5,5,Assigned Job,594bde9ffd2cf400280aa920,06/22/2017 11:13:35,review,1,review,6,17,5,2,3,0,0,0,0
06/22/2017 17:26:53,732e4a29b2e318bce3c1e923276ddf51,5,5,Accepted Job,594b945bf8b866004036d9c3,06/22/2017 5:56:43,review,1,review,2,18,4,1,3,0,0,0,0
06/22/2017 17:26:52,732e4a29b2e318bce3c1e923276ddf51,5,5,Assigned Job,594b945bf8b866004036d9c3,06/22/2017 5:56:43,review,1,review,3,18,5,2,3,0,0,0,0
06/22/2017 17:19:35,a09c8906073b4c0b75e3100b857b982a,5,5,Accepted Job,594aead5ef88150028311172,06/21/2017 17:53:25,review,1,"review, planning, editing, sourcing, writing",2,17,5,2,3,0,0,0,0
06/22/2017 17:19:26,dddcdea13df8232803957a5d9c847aae,4.31,4.31,Accepted Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,writing,14,"sourcing, writing",3,16,6,3,3,0,0,0,0
06/22/2017 17:19:16,a09c8906073b4c0b75e3100b857b982a,5,5,Assigned Job,594aead5ef88150028311172,06/21/2017 17:53:25,review,1,"review, planning, editing, sourcing, writing",4,16,7,3,3,0,0,0,1
06/22/2017 17:19:16,dddcdea13df8232803957a5d9c847aae,4.31,4.31,Assigned Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,writing,14,"sourcing, writing",4,16,7,3,3,0,0,0,1
06/22/2017 17:19:16,0c2680433387fb4cf51a3546296f8422,4.52,4.52,Declined Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,writing,15,"sourcing, writing",4,16,7,3,3,0,0,0,1
06/22/2017 17:18:41,0c2680433387fb4cf51a3546296f8422,4.52,4.52,Assigned Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,writing,14,"sourcing, writing",4,16,7,3,3,0,0,0,1
06/22/2017 17:18:41,0c2680433387fb4cf51a3546296f8422,4.52,4.52,Declined Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,writing,14,"sourcing, writing",4,16,7,3,3,0,0,0,1
06/22/2017 17:18:06,0c2680433387fb4cf51a3546296f8422,4.52,4.52,Assigned Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,writing,13,"sourcing, writing",3,16,7,3,3,0,0,0,1
06/22/2017 17:12:54,c033808b89b50e6f550caf266470f090,4.9,4.9,Accepted Job,594bec5e95e2ce005840c252,06/22/2017 12:12:14,writing,4,"editing, sourcing, writing",3,16,6,3,3,0,0,0,0
06/22/2017 17:12:52,a09c8906073b4c0b75e3100b857b982a,5,5,Accepted Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,source review,1,"review, planning, editing, sourcing, writing",4,16,7,3,3,0,0,0,1
06/22/2017 17:12:50,a09c8906073b4c0b75e3100b857b982a,5,5,Assigned Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,source review,1,"review, planning, editing, sourcing, writing",5,16,8,4,3,0,0,0,1
06/22/2017 17:12:50,c033808b89b50e6f550caf266470f090,4.9,4.9,Assigned Job,594bec5e95e2ce005840c252,06/22/2017 12:12:14,writing,4,"editing, sourcing, writing",5,16,8,4,3,0,0,0,1
06/22/2017 17:04:42,a09c8906073b4c0b75e3100b857b982a,5,5,Accepted Job,594bec5e95e2ce005840c252,06/22/2017 12:12:14,source review,1,"review, planning, editing, sourcing, writing",2,15,7,4,3,0,0,0,0
06/22/2017 17:04:40,a09c8906073b4c0b75e3100b857b982a,5,5,Assigned Job,594bec5e95e2ce005840c252,06/22/2017 12:12:14,source review,1,"review, planning, editing, sourcing, writing",3,15,8,5,3,0,0,0,0
06/22/2017 17:04:12,3a29165b73c047e745934c2cbbfaac1b,4.67,4.67,Accepted Job,594bec5b95e2ce005840c232,06/22/2017 12:12:11,writing,8,writing,2,14,8,5,3,0,0,0,0
06/22/2017 17:04:05,3a29165b73c047e745934c2cbbfaac1b,4.67,4.67,Assigned Job,594bec5b95e2ce005840c232,06/22/2017 12:12:11,writing,8,writing,3,14,9,5,3,0,0,0,1
06/22/2017 17:03:03,b89eb67419465a9e2c9da08dae6023e2,0,0,Accepted Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,sourcing,35,sourcing,2,14,8,5,3,0,0,0,0
06/22/2017 17:02:54,b89eb67419465a9e2c9da08dae6023e2,0,0,Assigned Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,sourcing,35,sourcing,4,14,9,5,3,0,0,1,0
06/22/2017 17:02:54,dddcdea13df8232803957a5d9c847aae,4.31,4.31,Declined Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,sourcing,3,"sourcing, writing",4,14,9,5,3,0,0,1,0
06/22/2017 17:02:19,dddcdea13df8232803957a5d9c847aae,4.31,4.31,Assigned Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,sourcing,2,"sourcing, writing",4,14,9,5,3,0,0,1,0
06/22/2017 17:02:19,dddcdea13df8232803957a5d9c847aae,4.31,4.31,Declined Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,sourcing,2,"sourcing, writing",4,14,9,5,3,0,0,1,0
06/22/2017 17:01:44,dddcdea13df8232803957a5d9c847aae,4.31,4.31,Assigned Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,sourcing,2,"sourcing, writing",5,14,9,5,3,0,0,1,0
06/22/2017 17:01:44,0c2680433387fb4cf51a3546296f8422,4.52,4.52,Declined Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,sourcing,24,sourcing,5,14,9,5,3,0,0,1,0
06/22/2017 17:01:09,0c2680433387fb4cf51a3546296f8422,4.52,4.52,Assigned Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,sourcing,23,sourcing,5,14,9,5,3,0,0,1,0
06/22/2017 17:01:09,0c2680433387fb4cf51a3546296f8422,4.52,4.52,Declined Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,sourcing,23,sourcing,5,14,9,5,3,0,0,1,0
06/22/2017 17:00:34,0c2680433387fb4cf51a3546296f8422,4.52,4.52,Assigned Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,sourcing,23,sourcing,4,14,9,5,3,0,0,1,0
06/22/2017 16:53:00,a09c8906073b4c0b75e3100b857b982a,5,5,Accepted Job,594bec5b95e2ce005840c232,06/22/2017 12:12:11,source review,1,"review, planning, editing, sourcing, writing",3,14,5,5,0,0,0,0,0
06/22/2017 16:52:58,a09c8906073b4c0b75e3100b857b982a,5,5,Assigned Job,594bec5b95e2ce005840c232,06/22/2017 12:12:11,source review,1,"review, planning, editing, sourcing, writing",4,14,6,6,0,0,0,0,0
06/22/2017 16:46:32,732e4a29b2e318bce3c1e923276ddf51,5,5,Assigned Job,594bec5b95e2ce005840c232,06/22/2017 12:12:11,source review,1,review,4,14,6,6,0,0,0,0,0
06/22/2017 16:37:46,732e4a29b2e318bce3c1e923276ddf51,5,5,Accepted Job,594baca737b4b7004b683616,06/22/2017 7:40:23,review,1,review,4,14,6,6,0,0,0,0,0
06/22/2017 16:37:43,732e4a29b2e318bce3c1e923276ddf51,5,5,Assigned Job,594baca737b4b7004b683616,06/22/2017 7:40:23,review,1,review,5,14,7,7,0,0,0,0,0
06/22/2017 16:29:48,62060850630c7afe54fd59151413d237,4.82,4.82,Accepted Job,594c28953b593b00281250e1,06/22/2017 16:29:09,vetting,4,"vetting, planning, editing, sourcing, writing",4,15,6,6,0,0,0,0,0
06/22/2017 16:29:33,62060850630c7afe54fd59151413d237,4.82,4.82,Assigned Job,594c28953b593b00281250e1,06/22/2017 16:29:09,vetting,3,"vetting, planning, editing, sourcing, writing",5,15,7,6,1,0,0,0,0
06/22/2017 16:17:23,9286ce84f2401fbd6635f7d768c3cad1,0,0,Accepted Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,sourcing,2,sourcing,2,15,5,5,0,0,0,0,0
06/22/2017 16:17:17,9286ce84f2401fbd6635f7d768c3cad1,0,0,Assigned Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,sourcing,2,sourcing,3,15,6,5,0,0,0,1,0
06/22/2017 16:09:53,62060850630c7afe54fd59151413d237,4.82,4.82,Accepted Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,sourcing,1,"vetting, planning, editing, sourcing, writing",0,17,4,4,0,0,0,0,0
06/22/2017 16:09:47,62060850630c7afe54fd59151413d237,4.82,4.82,Assigned Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,sourcing,1,"vetting, planning, editing, sourcing, writing",1,17,5,4,0,0,0,1,0
06/22/2017 16:05:31,62060850630c7afe54fd59151413d237,4.82,4.82,Accepted Job,594c20b773dd9c002873cdda,06/22/2017 15:55:35,vetting,1,"vetting, planning, editing, sourcing, writing",0,18,3,2,0,0,0,1,0
06/22/2017 16:05:27,62060850630c7afe54fd59151413d237,4.82,4.82,Assigned Job,594c20b773dd9c002873cdda,06/22/2017 15:55:35,vetting,1,"vetting, planning, editing, sourcing, writing",1,18,4,2,1,0,0,1,0
06/22/2017 16:02:15,62060850630c7afe54fd59151413d237,4.82,4.82,Accepted Job,594c1e983b593b00281250ba,06/22/2017 15:46:32,vetting,1,"vetting, planning, editing, sourcing, writing",0,19,3,2,1,0,0,0,0
06/22/2017 16:02:11,62060850630c7afe54fd59151413d237,4.82,4.82,Assigned Job,594c1e983b593b00281250ba,06/22/2017 15:46:32,vetting,1,"vetting, planning, editing, sourcing, writing",1,19,4,2,2,0,0,0,0
06/22/2017 16:01:43,b89eb67419465a9e2c9da08dae6023e2,0,0,Accepted Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,sourcing,1,sourcing,0,18,4,2,2,0,0,0,0
06/22/2017 16:01:36,b89eb67419465a9e2c9da08dae6023e2,0,0,Assigned Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,sourcing,1,sourcing,1,18,5,2,2,0,0,1,0
06/22/2017 15:57:43,00360b3f177375b01b795a4be7b4686c,0,0,Declined Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,sourcing,6,sourcing,2,19,5,2,2,0,0,1,0
06/22/2017 15:57:08,00360b3f177375b01b795a4be7b4686c,0,0,Assigned Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,sourcing,6,sourcing,2,20,5,2,2,0,0,1,0
06/22/2017 15:57:08,00360b3f177375b01b795a4be7b4686c,0,0,Declined Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,sourcing,6,sourcing,2,20,5,2,2,0,0,1,0
06/22/2017 15:57:02,62060850630c7afe54fd59151413d237,4.82,4.82,Accepted Job,594c1f5cd7e68f0028c9062c,06/22/2017 15:49:48,vetting,1,"vetting, planning, editing, sourcing, writing",2,19,5,2,2,0,0,1,0
06/22/2017 15:56:33,62060850630c7afe54fd59151413d237,4.82,4.82,Assigned Job,594c1f5cd7e68f0028c9062c,06/22/2017 15:49:48,vetting,1,"vetting, planning, editing, sourcing, writing",3,19,6,2,3,0,0,1,0
06/22/2017 15:56:33,00360b3f177375b01b795a4be7b4686c,0,0,Assigned Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,sourcing,5,sourcing,3,19,6,2,3,0,0,1,0
06/22/2017 15:50:34,98de7e62209a07eee6ec8dc984911042,0,0,Accepted Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,sourcing,2,sourcing,1,19,4,2,2,0,0,0,0
06/22/2017 15:50:07,98de7e62209a07eee6ec8dc984911042,0,0,Assigned Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,sourcing,1,sourcing,2,19,5,2,2,0,0,1,0
06/22/2017 15:50:07,98de7e62209a07eee6ec8dc984911042,0,0,Declined Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,sourcing,1,sourcing,2,19,5,2,2,0,0,1,0
06/22/2017 15:49:32,98de7e62209a07eee6ec8dc984911042,0,0,Assigned Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,sourcing,1,sourcing,2,19,4,2,1,0,0,1,0
06/22/2017 15:47:47,c2d7982e24aadeea8921108d0eb756d8,4.45,4.45,Declined Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,sourcing,33,"sourcing, writing",2,19,4,2,1,0,0,1,0
06/22/2017 15:47:15,94959cf2d0b592d0fa1e5e9cf760a1c7,5,5,Accepted Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,planning,1,planning,2,18,4,2,1,0,0,1,0
06/22/2017 15:47:12,c2d7982e24aadeea8921108d0eb756d8,4.45,4.45,Assigned Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,sourcing,32,"sourcing, writing",3,18,5,2,1,1,0,1,0
06/22/2017 15:47:12,94959cf2d0b592d0fa1e5e9cf760a1c7,5,5,Assigned Job,594bebaa632eb100405ab4c3,06/22/2017 12:09:14,planning,1,planning,3,18,5,2,1,1,0,1,0
06/22/2017 15:47:12,c2d7982e24aadeea8921108d0eb756d8,4.45,4.45,Declined Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,sourcing,32,"sourcing, writing",3,18,5,2,1,1,0,1,0
06/22/2017 15:46:37,c2d7982e24aadeea8921108d0eb756d8,4.45,4.45,Assigned Job,594bec83fd2cf400280aa965,06/22/2017 12:12:51,sourcing,32,"sourcing, writing",2,18,5,2,1,1,0,1,0
06/22/2017 15:37:20,62060850630c7afe54fd59151413d237,4.82,4.82,Accepted Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,planning,1,"vetting, planning, editing, sourcing, writing",4,18,3,2,0,1,0,0,0
06/22/2017 15:37:16,62060850630c7afe54fd59151413d237,4.82,4.82,Assigned Job,594c15a573dd9c002873cda1,06/22/2017 15:08:21,planning,1,"vetting, planning, editing, sourcing, writing",5,18,4,2,0,2,0,0,0
06/22/2017 15:34:23,62060850630c7afe54fd59151413d237,4.82,4.82,Accepted Job,594c151273dd9c002873cd98,06/22/2017 15:05:54,vetting,1,"vetting, planning, editing, sourcing, writing",5,19,4,2,0,2,0,0,0
06/22/2017 15:34:21,62060850630c7afe54fd59151413d237,4.82,4.82,Assigned Job,594c151273dd9c002873cd98,06/22/2017 15:05:54,vetting,1,"vetting, planning, editing, sourcing, writing",6,19,5,2,1,2,0,0,0
